epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9666,2.2147,3.90209,2.00706,0.00333,1,0.01699,0.00743,1.32822,3.71115,1.43224,0.0002,0.0002,0.0002
2,48.5819,1.2352,1.64848,1.24648,0.00333,1,0.0163,0.00979,1.15685,3.36994,1.14409,0.00037842,0.00037842,0.00037842
3,67.2507,1.22713,1.24035,1.18575,0.00333,1,0.07758,0.04963,1.23816,2.99171,1.11637,0.00051328,0.00051328,0.00051328
4,86.1481,1.18975,1.11451,1.15029,0.00333,1,0.81862,0.54085,1.07873,2.73756,1.01268,0.00060458,0.00060458,0.00060458
5,104.824,1.17328,1.01169,1.14944,0.00333,1,0.995,0.71393,1.01515,2.48164,0.99289,0.00065232,0.00065232,0.00065232
6,123.596,1.18041,0.97975,1.11088,0.99398,1,0.995,0.69578,1.0753,2.03231,1.04675,0.0006565,0.0006565,0.0006565
7,141.6,1.16765,0.95203,1.1302,0.98229,1,0.995,0.70681,1.08243,1.79831,1.03305,0.00061712,0.00061712,0.00061712
8,160.29,1.08112,0.88565,1.09766,0.99138,1,0.995,0.70797,1.11027,1.33193,1.03146,0.00053418,0.00053418,0.00053418
9,178.471,1.0911,0.85683,1.07305,0.99449,1,0.995,0.71974,1.0835,1.1775,1.01592,0.00040768,0.00040768,0.00040768
10,196.935,1.01387,0.80825,1.06606,0.99532,1,0.995,0.71379,1.13786,1.07108,1.02622,0.000218,0.000218,0.000218
